ten_file,trang_thai,so_cot,cac_cot
FIFA2026_schedule.csv,Đọc được,5,"date, match_number, group, stadium, date_dt"
FIFA2026_schedule_Fixtures.csv,Đọc được,6,"date, match_number, teams, group, stadium, date_dt"
all_matches.csv,Đọc được,8,"date, home_team, away_team, home_score, away_score, tournament, country, neutral"
countries_names.csv,Đọc được,4,"original_name, current_name, color_code, secondary_color_code"
elo_world_2026.csv,Đọc được,3,"Rank, Team, Rating"
eloratings_kaggle.csv,Đọc được,4,"date, team, rating, change"
fifa_mens_rank_kaggle.csv,Đọc được,8,"date, semester, rank, team, acronym, total.points, previous.points, diff.points"
host_cities.csv,Đọc được,6,"id, city_name, country, venue_name, region_cluster, airport_code"
kaggle1872_2025.csv,Đọc được,4,"current, former, start_date, end_date"
matches.csv,Đọc được,8,"id, match_number, home_team_id, away_team_id, city_id, stage_id, kickoff_at, match_label"
matches_1930_2022.csv,Đọc được,44,"home_team, away_team, home_score, home_xg, home_penalty, away_score, away_xg, away_penalty, home_manager, home_captain, away_manager, away_captain, Attendance, Venue, Officials, Round, Date, Score, Referee, Notes, Host, Year, home_goal, away_goal, home_goal_long, away_goal_long, home_own_goal, away_own_goal, home_penalty_goal, away_penalty_goal, home_penalty_miss_long, away_penalty_miss_long, home_penalty_shootout_goal_long, away_penalty_shootout_goal_long, home_penalty_shootout_miss_long, away_penalty_shootout_miss_long, home_red_card, away_red_card, home_yellow_red_card, away_yellow_red_card, home_yellow_card_long, away_yellow_card_long, home_substitute_in_long, away_substitute_in_long"
shootouts_kaggle.csv,Đọc được,5,"date, home_team, away_team, winner, first_shooter"
teams.csv,Đọc được,5,"id, team_name, fifa_code, group_letter, is_placeholder"
tournament_stages.csv,Đọc được,3,"id, stage_name, stage_order"
wc_2026_groups.csv,Đọc được,2,"bang, doi"
wc_2026_schedule_knockout.csv,Đọc được,6,"vong, ma_tran, bang, doi_a, doi_b, ngay_gio"
wc_2026_schedule_vong_bang.csv,Đọc được,6,"vong, ma_tran, bang, doi_a, doi_b, ngay_gio"
world_cup.csv,Đọc được,9,"Year, Host, Teams, Champion, Runner-Up, TopScorrer, Attendance, AttendanceAvg, Matches"
world_cup_matches.csv,Đọc được,37,"Key Id, Tournament Id, tournament Name, Match Id, Match Name, Stage Name, Group Name, Group Stage, Knockout Stage, Replayed, Replay, Match Date, Match Time, Stadium Id, Stadium Name, City Name, Country Name, Home Team Id, Home Team Name, Home Team Code, Away Team Id, Away Team Name, Away Team Code, Score, Home Team Score, Away Team Score, Home Team Score Margin, Away Team Score Margin, Extra Time, Penalty Shootout, Score Penalties, Home Team Score Penalties, Away Team Score Penalties, Result, Home Team Win, Away Team Win, Draw"
