Xếp hạng,Đội,Bảng,Hạng bảng,Giai đoạn cao nhất,ST,T,H,B,BT,BB,HS,Điểm
1,Spain,H,1,Chung kết,3,2,1,0,8,4,4,7
2,Argentina,J,1,Chung kết,3,2,1,0,5,1,4,7
3,France,I,1,Tranh hạng ba,3,2,0,1,6,3,3,6
4,England,L,1,Tranh hạng ba,3,2,1,0,5,2,3,7
5,Brazil,C,1,Tứ kết,3,2,1,0,5,1,4,7
6,Netherlands,F,1,Tứ kết,3,2,1,0,6,3,3,7
7,Colombia,K,1,Tứ kết,3,2,1,0,6,3,3,7
8,Portugal,K,2,Tứ kết,3,2,0,1,6,3,3,6
9,Switzerland,B,1,Vòng 1/8,3,2,1,0,6,2,4,7
10,Belgium,G,1,Vòng 1/8,3,2,1,0,6,2,4,7
11,Germany,E,1,Vòng 1/8,3,2,1,0,5,1,4,7
12,Mexico,A,1,Vòng 1/8,3,2,1,0,6,3,3,7
13,United States,D,1,Vòng 1/8,3,2,0,1,5,2,3,6
14,Canada,B,2,Vòng 1/8,3,2,0,1,5,3,2,6
15,Turkey,D,2,Vòng 1/8,3,2,0,1,5,3,2,6
16,Ecuador,E,2,Vòng 1/8,3,1,2,0,5,3,2,5
17,Uruguay,H,2,Vòng 1/16,3,1,2,0,6,4,2,5
18,Norway,I,2,Vòng 1/16,3,1,2,0,6,5,1,5
19,Croatia,L,2,Vòng 1/16,3,1,1,1,6,5,1,4
20,Czechia,A,2,Vòng 1/16,3,1,1,1,5,4,1,4
21,Japan,F,2,Vòng 1/16,3,1,1,1,4,3,1,4
22,Morocco,C,2,Vòng 1/16,3,1,1,1,5,5,0,4
23,South Korea,A,3,Vòng 1/16,3,1,1,1,4,4,0,4
24,Senegal,I,3,Vòng 1/16,3,1,1,1,4,4,0,4
25,Iran,G,2,Vòng 1/16,3,1,1,1,3,3,0,4
26,Austria,J,2,Vòng 1/16,3,1,1,1,3,3,0,4
27,Scotland,C,3,Vòng 1/16,3,0,3,0,4,4,0,3
28,Panama,L,3,Vòng 1/16,3,0,3,0,4,4,0,3
29,Australia,D,3,Vòng 1/16,3,1,0,2,3,5,-2,3
30,Sweden,F,3,Vòng 1/16,3,1,0,2,2,4,-2,3
31,Bosnia and Herzegovina,B,3,Vòng 1/16,3,1,0,2,2,5,-3,3
32,Democratic Republic of the Congo,K,3,Vòng 1/16,3,1,0,2,2,5,-3,3
33,Paraguay,D,4,Vòng bảng,3,1,0,2,2,5,-3,3
34,Saudi Arabia,H,3,Vòng bảng,3,0,2,1,5,7,-2,2
35,New Zealand,G,3,Vòng bảng,3,0,2,1,4,6,-2,2
36,Algeria,J,3,Vòng bảng,3,0,2,1,4,6,-2,2
37,Ivory Coast,E,3,Vòng bảng,3,0,2,1,3,5,-2,2
38,Tunisia,F,4,Vòng bảng,3,0,2,1,3,5,-2,2
39,Egypt,G,4,Vòng bảng,3,0,2,1,3,5,-2,2
40,Jordan,J,4,Vòng bảng,3,0,2,1,2,4,-2,2
41,Qatar,B,4,Vòng bảng,3,0,1,2,4,7,-3,1
42,Uzbekistan,K,4,Vòng bảng,3,0,1,2,4,7,-3,1
43,Haiti,C,4,Vòng bảng,3,0,1,2,4,8,-4,1
44,Ghana,L,4,Vòng bảng,3,0,1,2,4,8,-4,1
45,Curaçao,E,4,Vòng bảng,3,0,1,2,3,7,-4,1
46,Cape Verde,H,4,Vòng bảng,3,0,1,2,3,7,-4,1
47,Iraq,I,4,Vòng bảng,3,0,1,2,3,7,-4,1
48,South Africa,A,4,Vòng bảng,3,0,1,2,1,5,-4,1
