rank_xgb,team,group,group_rank,stage_reached,eliminated_round,stage_score,group_matches,group_wins,group_draws,group_losses,group_goals_for,group_goals_against,group_goal_diff,group_points,model
1,Spain,H,1,Vô địch,Không bị loại,100,3,2,1,0,7,3,4,7,XGBoost Tuned
2,Argentina,J,1,Á quân,Chung kết,95,3,2,1,0,7,3,4,7,XGBoost Tuned
3,France,I,1,Hạng ba,Tranh hạng ba,90,3,2,0,1,7,4,3,6,XGBoost Tuned
4,Brazil,C,1,Hạng tư,Tranh hạng ba,85,3,2,0,1,6,4,2,6,XGBoost Tuned
5,Portugal,K,1,Tứ kết,Tứ kết,50,3,2,1,0,7,3,4,7,XGBoost Tuned
6,Netherlands,F,1,Tứ kết,Tứ kết,50,3,2,1,0,5,1,4,7,XGBoost Tuned
7,England,L,1,Tứ kết,Tứ kết,50,3,2,0,1,7,4,3,6,XGBoost Tuned
8,Colombia,K,2,Tứ kết,Tứ kết,50,3,1,2,0,5,3,2,5,XGBoost Tuned
9,Belgium,G,1,Vòng 1/8,Vòng 1/8,40,3,2,1,0,7,3,4,7,XGBoost Tuned
10,Germany,E,1,Vòng 1/8,Vòng 1/8,40,3,2,1,0,7,3,4,7,XGBoost Tuned
11,Mexico,A,1,Vòng 1/8,Vòng 1/8,40,3,2,1,0,6,2,4,7,XGBoost Tuned
12,United States,D,1,Vòng 1/8,Vòng 1/8,40,3,2,1,0,5,2,3,7,XGBoost Tuned
13,Canada,B,2,Vòng 1/8,Vòng 1/8,40,3,2,0,1,5,3,2,6,XGBoost Tuned
14,Ecuador,E,2,Vòng 1/8,Vòng 1/8,40,3,1,2,0,5,3,2,5,XGBoost Tuned
15,Croatia,L,3,Vòng 1/8,Vòng 1/8,40,3,1,1,1,5,5,0,4,XGBoost Tuned
16,Turkey,D,2,Vòng 1/8,Vòng 1/8,40,3,1,1,1,4,4,0,4,XGBoost Tuned
17,Switzerland,B,1,Vòng 1/16,Vòng 1/16,30,3,2,1,0,6,2,4,7,XGBoost Tuned
18,Scotland,C,2,Vòng 1/16,Vòng 1/16,30,3,1,2,0,5,3,2,5,XGBoost Tuned
19,Uruguay,H,2,Vòng 1/16,Vòng 1/16,30,3,1,2,0,5,3,2,5,XGBoost Tuned
20,Norway,I,2,Vòng 1/16,Vòng 1/16,30,3,1,2,0,4,3,1,5,XGBoost Tuned
21,Panama,L,2,Vòng 1/16,Vòng 1/16,30,3,1,2,0,4,3,1,5,XGBoost Tuned
22,Austria,J,2,Vòng 1/16,Vòng 1/16,30,3,1,1,1,5,5,0,4,XGBoost Tuned
23,Iran,G,2,Vòng 1/16,Vòng 1/16,30,3,1,1,1,4,4,0,4,XGBoost Tuned
24,Morocco,C,3,Vòng 1/16,Vòng 1/16,30,3,1,1,1,4,4,0,4,XGBoost Tuned
25,Senegal,I,3,Vòng 1/16,Vòng 1/16,30,3,1,1,1,4,4,0,4,XGBoost Tuned
26,Sweden,F,2,Vòng 1/16,Vòng 1/16,30,3,1,1,1,4,4,0,4,XGBoost Tuned
27,Czechia,A,2,Vòng 1/16,Vòng 1/16,30,3,1,1,1,3,3,0,4,XGBoost Tuned
28,South Korea,A,3,Vòng 1/16,Vòng 1/16,30,3,1,1,1,3,3,0,4,XGBoost Tuned
29,Australia,D,3,Vòng 1/16,Vòng 1/16,30,3,1,0,2,4,5,-1,3,XGBoost Tuned
30,Bosnia and Herzegovina,B,3,Vòng 1/16,Vòng 1/16,30,3,1,0,2,3,6,-3,3,XGBoost Tuned
31,Uzbekistan,K,3,Vòng 1/16,Vòng 1/16,30,3,0,2,1,4,6,-2,2,XGBoost Tuned
32,Ivory Coast,E,3,Vòng 1/16,Vòng 1/16,30,3,0,2,1,3,5,-2,2,XGBoost Tuned
33,Paraguay,D,4,Vòng bảng,Vòng bảng,10,3,1,0,2,3,5,-2,3,XGBoost Tuned
34,Algeria,J,3,Vòng bảng,Vòng bảng,10,3,0,2,1,3,5,-2,2,XGBoost Tuned
35,Japan,F,3,Vòng bảng,Vòng bảng,10,3,0,2,1,3,5,-2,2,XGBoost Tuned
36,Jordan,J,4,Vòng bảng,Vòng bảng,10,3,0,2,1,3,5,-2,2,XGBoost Tuned
37,New Zealand,G,3,Vòng bảng,Vòng bảng,10,3,0,2,1,3,5,-2,2,XGBoost Tuned
38,Saudi Arabia,H,3,Vòng bảng,Vòng bảng,10,3,0,2,1,3,5,-2,2,XGBoost Tuned
39,Egypt,G,4,Vòng bảng,Vòng bảng,10,3,0,2,1,2,4,-2,2,XGBoost Tuned
40,Tunisia,F,4,Vòng bảng,Vòng bảng,10,3,0,2,1,2,4,-2,2,XGBoost Tuned
41,Qatar,B,4,Vòng bảng,Vòng bảng,10,3,0,1,2,3,6,-3,1,XGBoost Tuned
42,DR Congo,K,4,Vòng bảng,Vòng bảng,10,3,0,1,2,4,8,-4,1,XGBoost Tuned
43,Cape Verde,H,4,Vòng bảng,Vòng bảng,10,3,0,1,2,3,7,-4,1,XGBoost Tuned
44,Curaçao,E,4,Vòng bảng,Vòng bảng,10,3,0,1,2,3,7,-4,1,XGBoost Tuned
45,Ghana,L,4,Vòng bảng,Vòng bảng,10,3,0,1,2,3,7,-4,1,XGBoost Tuned
46,Haiti,C,4,Vòng bảng,Vòng bảng,10,3,0,1,2,3,7,-4,1,XGBoost Tuned
47,Iraq,I,4,Vòng bảng,Vòng bảng,10,3,0,1,2,2,6,-4,1,XGBoost Tuned
48,South Africa,A,4,Vòng bảng,Vòng bảng,10,3,0,1,2,2,6,-4,1,XGBoost Tuned
