bang,hang,doi,so_tran,thang,hoa,thua,ban_thang,ban_thua,hieu_so,diem,xep_hang_hang_3
A,3,South Korea,3,1,1,1,4,4,0,4,1
I,3,Senegal,3,1,1,1,4,4,0,4,2
C,3,Scotland,3,0,3,0,4,4,0,3,3
L,3,Panama,3,0,3,0,4,4,0,3,4
D,3,Australia,3,1,0,2,3,5,-2,3,5
F,3,Sweden,3,1,0,2,2,4,-2,3,6
B,3,Bosnia and Herzegovina,3,1,0,2,2,5,-3,3,7
K,3,Democratic Republic of the Congo,3,1,0,2,2,5,-3,3,8
H,3,Saudi Arabia,3,0,2,1,5,7,-2,2,9
G,3,New Zealand,3,0,2,1,4,6,-2,2,10
J,3,Algeria,3,0,2,1,4,6,-2,2,11
E,3,Ivory Coast,3,0,2,1,3,5,-2,2,12
